session_id,message_index,t_start_sec,t_end_sec,emotion_visual_deployed,n_frames_with_face,fer_p_angry,fer_p_disgust,fer_p_fear,fer_p_happy,fer_p_neutral,fer_p_sad,fer_p_surprise
00_00_00_02_07_00_00,24,908.673,913.455,happy,3,2.6188315777317578e-05,0.0009439723436830759,1.8900019425329006e-05,0.02056065270234355,0.9782186846429536,8.309395623361592e-05,0.00014850801958343882
00_00_00_02_07_00_00,26,909.8,912.559,happy,3,8.482896208204758e-05,0.0006171828344120011,4.06910277341589e-05,0.03682698030443871,0.9618945295165314,0.0002526502839898414,0.0002831370708118017
00_00_00_02_07_00_00,28,876.6,882.741,happy,3,0.000515338997396094,0.005673436690500036,0.00019407169273002393,0.18068044416373916,0.8103650313958211,0.0015398205539275797,0.001031856505886041
00_00_00_02_07_00_00,30,522.8,522.985,happy,3,1.3259623589896517e-05,0.00013938617386329756,1.625064019293932e-05,0.9831990701031699,0.016485914757997336,6.0641867113173965e-05,8.54768340734741e-05
00_00_00_02_07_00_00,32,541.1,553.1,happy,3,1.042469578282756e-05,0.00013740019766508605,3.3969963620246804e-06,0.33300300415341916,0.6664809301639546,0.0003467721005548327,1.807169226153875e-05
00_00_00_02_07_00_00,34,574.175,576.8,happy,3,0.0017618193856498343,0.01860655455574525,0.0008078098450314979,0.5454627153739441,0.4281356893668263,0.0035352744923168155,0.001690136980486219
00_00_00_02_07_00_00,36,617.8,624.667,happy,3,3.382878818042301e-05,0.0003446790121353184,2.0957094757960382e-05,0.9928163664006247,0.00668935979736253,6.989660325073316e-05,2.491230368828516e-05
00_00_00_02_07_00_00,38,642.8,654.351,happy,3,0.0002435142307878469,0.0042245368329025135,0.00017894244892364828,0.2791123494805353,0.7012413391071844,0.014588130848534631,0.0004111870511316958
00_00_00_02_07_00_00,40,678.8,689.8,neutral,3,0.00039965516796330544,0.03856457283832189,0.0011252285998825083,0.2798674874785729,0.6713793382847095,0.008143813552113417,0.0005199040784364117
00_00_00_02_07_00_00,42,727.8,732.8,happy,3,0.0024391873447073753,0.008833599322489833,0.0008449510673958352,0.8971468910512941,0.08841695714268286,0.0018271312019443675,0.0004912828694856675
00_00_00_02_07_00_00,44,738.8,745.888,happy,3,0.000437143856856455,0.010442802511142286,0.00041894858476409645,0.8454836908100632,0.14186913569572498,0.0010910553123167754,0.0002572232291320758
00_00_00_02_07_00_00,46,761.8,763.8,happy,3,0.0038547736043248945,0.011206699677424777,0.004113091500344347,0.39097240521692156,0.5824818306340814,0.0013219011582877706,0.006049298208615162
00_00_00_02_07_00_00,48,803.294,812.8,happy,3,4.4098345573144235e-05,5.042222954551521e-05,6.122946277405739e-06,0.9997479063849048,0.00011037361186110763,2.6182041591787002e-05,1.4894440246185283e-05
00_00_00_02_07_00_00,50,824.189,830.8,happy,3,0.0002601730045542541,0.001266274496419833,0.00030379807381123906,0.76574973605658,0.229693700741465,0.00254479289314807,0.00018152473402169593
00_00_00_02_07_00_00,52,847.656,851.8,happy,3,1.6128924346493704e-05,0.0002874426587989552,2.785507962880513e-05,0.39151812804554276,0.607775705624628,0.00025031620393995964,0.00012442346311490447
00_00_00_02_07_00_00,54,895.8,904.8,happy,3,0.00024212411583519905,0.00042861942177933686,0.00012689026568393067,0.33705839589867326,0.6614882497640671,4.3936826273667916e-05,0.0006117837076875559
00_00_00_02_07_00_00,56,915.455,932.936,happy,3,4.097867270188615e-05,0.005864198590803614,5.114708037938827e-05,0.6064100938063661,0.3870307064821165,0.0005063334307134832,9.654193691907934e-05
00_00_00_02_07_00_00,58,952.8,962.8,happy,3,0.0003916082612701723,0.0025215685418468266,0.00040300157860678,0.946546876779559,0.048469695493057276,0.0003649345975789048,0.0013023147480810146
00_00_00_04_07_00_01,1,29.475,60.742,neutral,1,0.0003651241140837606,0.009310762421520086,0.0022532392815928855,0.018399555282689436,0.8922163866699797,0.036016985865236426,0.04143794636489769
00_00_00_04_07_00_01,3,77.0,105.0,disgust,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
00_00_00_04_07_00_01,5,123.0,136.0,neutral,2,1.528920077066795e-05,0.013288462659894104,1.9827012404757758e-05,0.00018879019490149784,0.9819335351112978,0.0034729925024778586,0.001081103318253292
00_00_00_04_07_00_01,7,159.0,179.0,neutral,2,0.09609299873438353,0.13514123543944376,0.12059760489513592,0.016815194004887762,0.38130574535114653,0.043015965195352085,0.20703125637965045
00_00_00_04_07_00_01,9,196.777,212.1,disgust,2,0.0019357597496039768,0.010176668733441118,0.11185284030022805,0.00027532599091454593,0.6128495938528614,0.26242788426003905,0.0004819271129118693
00_00_00_04_07_00_01,11,227.0,239.0,neutral,1,4.220614227237633e-06,0.023654809495810333,1.3249466579489695e-06,8.635878073384808e-07,0.9759945559006421,3.094879782468644e-05,0.00031327665703030703
00_00_00_04_07_00_01,13,259.5,284.0,neutral,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
00_00_00_04_07_00_01,15,303.0,321.4,disgust,3,0.00031711804437950216,0.009421845511506939,0.0009391706884286336,0.00028181804088862607,0.9582694411216571,0.02619315403628402,0.004577452556855157
00_00_00_04_07_00_01,17,355.704,379.465,neutral,1,0.14491471913923373,0.23342083822514187,0.0032364193477826247,0.000930202035990872,0.6116157882299142,0.004724068653774542,0.0011579643681621397
00_00_00_04_07_00_01,19,401.033,415.66,neutral,1,1.6988899782175414e-05,0.0073399678955990075,5.834849076814911e-05,0.00015969286798667295,0.9888303269069249,0.003054998627571697,0.0005396763113674041
00_00_00_04_07_00_01,21,434.68,457.4,neutral,1,1.5747186025554885e-06,0.0012611208322727428,1.3421871942104008e-05,0.002617704784838152,0.9914243920847376,0.0011069318893865902,0.003574853818220206
00_00_00_04_07_00_01,23,689.439,700.231,neutral,1,5.892450792654005e-08,0.0004835995930927226,6.291937777676867e-07,1.8629695562531412e-07,0.9994910049276093,5.884684390726004e-06,1.8636379665862425e-05
00_00_00_04_07_00_01,25,514.47,532.27,neutral,3,0.008881233180757687,0.007579117100824896,0.13240691177709407,0.0006135622894888143,0.7883394672082795,0.055982471939565216,0.006197236503989785
00_00_00_04_07_00_01,27,552.963,557.371,neutral,3,1.79570287753254e-05,0.0034766831560289826,0.0005601004117340965,0.00041369634035579223,0.9829152990698706,0.01056940539877545,0.0020468585944596056
00_00_00_04_07_00_01,29,577.512,581.787,neutral,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
00_00_00_04_07_00_01,31,620.12,630.12,disgust,2,0.0003732330950606505,0.021077601452499758,0.0242473482739589,0.0007381438631418925,0.9180256304065724,0.032057804341095994,0.0034802385676704177
00_00_00_04_07_00_01,33,650.394,665.054,disgust,2,0.06280816983672856,0.0898228124934598,0.08597864078984233,0.005381787171621689,0.582572153232964,0.14852363854520273,0.02491279793018092
00_00_00_04_07_00_01,35,689.598,709.058,neutral,1,0.03530334206819199,0.21805635955208247,0.03396000242535018,0.019276659379176386,0.5796243977096338,0.007625276933998256,0.10615396193156687
00_00_00_04_07_00_01,37,751.12,765.211,neutral,2,0.03001996612668923,0.025672096698307806,0.06060640828571554,0.006984254381406763,0.734513382101845,0.13746375403667282,0.004740138369362807
00_00_00_04_07_00_01,39,789.013,806.62,neutral,2,5.6881764258498704e-05,0.008617697047755748,0.0025990250197415665,0.0005389766263604063,0.9804079628525892,0.0027971749519520354,0.004982281737342536
00_00_00_04_07_00_01,41,845.12,847.887,neutral,3,0.06043405717647371,0.07403282958785361,0.01327146390377082,0.02457179343128931,0.7914334748638606,0.03524676903025971,0.0010096120064922672
00_00_00_04_07_00_01,43,887.713,902.477,neutral,3,9.655951989624505e-05,0.014031392419940678,0.008642245387615509,0.00023511011759861644,0.9582501636287897,0.018240590777260864,0.0005039381488984481
00_00_00_04_07_00_01,45,926.073,954.12,neutral,2,0.09001497646632992,0.27513466682221044,0.06524843842571994,0.0017032276200355718,0.44085621386013174,0.12310537151748505,0.003937105288087339
00_00_00_04_07_00_01,47,979.238,992.029,neutral,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
00_00_00_04_07_00_01,49,1039.913,1059.12,neutral,2,0.025448196967369347,0.047466441915672446,0.004715624519511901,0.0004998554889857277,0.89235598148857,0.017801134957874633,0.01171276466201596
00_00_00_04_07_00_01,51,1086.45,1111.745,neutral,2,0.0056006719358721755,0.025487976996599396,0.09775058505267716,0.0008757241885455077,0.8437047583387041,0.021916706844081518,0.004663576643520155
